x,y,label
3.542485,1.977398,-1
3.018896,2.556416,-1
7.551510,-1.58003,	1
2.114999,-0.00446,	-1
8.127113,1.274372,1
7.108772,-0.98690,	1
8.610639,2.046708,1
2.326297,0.265213,-1
3.634009,1.730537,-1
0.341367,-0.89499,	-1
3.125951,0.293251,-1
2.123252,-0.78356,	-1
0.887835,-2.79779,	-1
7.139979,-2.32989,	1
1.696414,-1.21249,	-1
8.117032,0.623493,1
8.497162,-0.26664,	1
4.658191,3.507396,-1
8.197181,1.545132,1
1.208047,0.213100,-1
1.928486,-0.32187,	-1
2.175808,-0.01452,	-1
7.886608,0.461755,1
3.223038,-0.55239,	-1
3.628502,2.190585,-1
7.407860,-0.12196,	1
7.286357,0.251077,1
2.301095,-0.53398,	-1
-0.23254,-0.54769,	-1
3.457096,-0.08221,	-1
3.023938,-0.05739,	-1
8.015003,0.885325,1
8.991748,0.923154,1
7.916831,-1.78173,	1
7.616862,-0.21795,	1
2.450939,0.744967,-1
7.270337,-2.50783,	1
1.749721,-0.96190,	-1
1.803111,-0.17634,	-1
8.804461,3.044301,1
1.231257,-0.56857,	-1
2.074915,1.410550,-1
-0.74303,-1.73610,	-1
3.536555,3.964960,-1
8.410143,0.025606,1
7.382988,-0.47876,	1
6.960661,-0.24535,	1
8.234460,0.701868,1
8.168618,-0.90383,	1
1.534187,-0.62249,	-1
9.229518,2.066088,1
7.886242,0.191813,1
2.893743,-1.64346,	-1
1.870457,-1.04042,	-1
5.286862,-2.35828,	1
6.080573,0.418886,1
2.544314,1.714165,-1
6.016004,-3.75371,	1
0.926310,-0.56435,	-1
0.870296,-0.10995,	-1
2.369345,1.375695,-1
1.363782,-0.25408,	-1
7.279460,-0.18957,	1
1.896005,0.515080,-1
8.102154,-0.60387,	1
2.529893,0.662657,-1
1.963874,-0.36523,	-1
8.132048,0.785914,1
8.245938,0.372366,1
6.543888,0.433164,1
-0.23671,-5.76672,	-1
8.112593,0.295839,1
9.803425,1.495167,1
1.497407,-0.55291,	-1
1.336267,-1.63288,	-1
9.205805,-0.58648,	1
1.966279,-1.84043,	-1
8.398012,1.584918,1
7.239953,-1.76429,	1
7.556201,0.241185,1
9.015509,0.345019,1
8.266085,-0.23097,	1
8.545620,2.788799,1
9.295969,1.346332,1
2.404234,0.570278,-1
2.037772,0.021919,-1
1.727631,-0.45314,	-1
1.979395,-0.05077,	-1
8.092288,-1.37243,	1
1.667645,0.239204,-1
9.854303,1.365116,1
7.921057,-1.32758,	1
8.500757,1.492372,1
1.339746,-0.29118,	-1
3.107511,0.758367,-1
2.609525,0.902979,-1
3.263585,1.367898,-1
2.912122,-0.20235,	-1
1.731786,0.589096,-1
2.387003,1.573131,	-1